"datetime";"id";"value";"index"
"2019-07-08 18:37:00";"Current";0.000549203;41202
"2019-07-08 18:37:00";"Temperature";45.9924;41203
"2019-07-08 18:37:00";"Voltage";209.606;41204
"2019-07-08 18:37:00";"Accelerometer1RMS";0.0383268;41205
"2019-07-08 18:37:00";"Accelerometer2RMS";0.0652229;41206
"2019-07-08 18:37:00";"Volume Flow RateRMS";38.0;41207
"2019-07-08 18:37:00";"Pressure";-0.273216;41208
"2019-07-08 18:37:00";"Thermocouple";24.026;41209
"2019-07-08 18:37:01";"Current";0.00053366;41210
"2019-07-08 18:37:01";"Temperature";46.0983;41211
"2019-07-08 18:37:01";"Voltage";232.596;41212
"2019-07-08 18:37:01";"Accelerometer1RMS";0.0358017;41213
"2019-07-08 18:37:01";"Accelerometer2RMS";0.0649122;41214
"2019-07-08 18:37:01";"Volume Flow RateRMS";37.9696;41215
"2019-07-08 18:37:01";"Pressure";0.382638;41216
"2019-07-08 18:37:01";"Thermocouple";24.0258;41217
"2019-07-08 18:37:02";"Current";0.000840851;41218
"2019-07-08 18:37:02";"Temperature";46.0671;41219
"2019-07-08 18:37:02";"Voltage";229.507;41220
"2019-07-08 18:37:02";"Accelerometer1RMS";0.0378675;41221
"2019-07-08 18:37:02";"Accelerometer2RMS";0.0622374;41222
"2019-07-08 18:37:02";"Volume Flow RateRMS";37.0312;41223
"2019-07-08 18:37:02";"Pressure";0.382638;41224
"2019-07-08 18:37:02";"Thermocouple";24.0315;41225
"2019-07-08 18:37:03";"Current";0.000947898;41226
"2019-07-08 18:37:03";"Temperature";46.0213;41227
"2019-07-08 18:37:03";"Voltage";235.774;41228
"2019-07-08 18:37:03";"Accelerometer1RMS";0.0362859;41229
"2019-07-08 18:37:03";"Accelerometer2RMS";0.0670581;41230
"2019-07-08 18:37:03";"Volume Flow RateRMS";38.0;41231
"2019-07-08 18:37:03";"Pressure";-0.273216;41232
"2019-07-08 18:37:03";"Thermocouple";24.0236;41233
"2019-07-08 18:37:04";"Current";0.000835679;41234
"2019-07-08 18:37:04";"Temperature";46.0212;41235
"2019-07-08 18:37:04";"Voltage";233.076;41236
"2019-07-08 18:37:04";"Accelerometer1RMS";0.0378883;41237
"2019-07-08 18:37:04";"Accelerometer2RMS";0.0628079;41238
